DB: BYD | Atto 2 | Standard -> 4499000
DB: BYD | Atto 3 | Advanced -> 5999000
DB: BYD | Atto 3 | Superior -> 6780000
DB: BYD | M6 | Standard -> 5890000
DB: BYD | Sealion 7 | Premium RWD -> 7999000
DB: BYD | Seal | Dynamic -> 11000000
DB: BYD | Seal | Premium -> 14550000
DB: BYD | Seal | Performance -> 19500000
DB: Kia | Sonet | HTE -> 4890000
DB: Kia | Sonet | HTK -> 5190000
DB: Kia | Sonet | HTK+ -> 5490000
DB: Kia | Sonet | HTX -> 5890000
DB: Kia | Sonet | HTX+ -> 6390000
DB: Kia | Seltos | HTE -> 6290000
DB: Kia | Seltos | HTK+ -> 6890000
DB: Kia | Seltos | HTX -> 7490000
DB: Kia | Seltos | HTX+ -> 8190000
DB: Kia | Carens | Premium -> 5690000
DB: Kia | Carens | Prestige -> 6190000
DB: Kia | Carens | Prestige Plus -> 6790000
DB: Kia | EV6 | GT-Line RWD -> 13990000
DB: Kia | EV6 | GT-Line AWD -> 16490000
DB: Nissan | Magnite | XE -> 3490000
DB: Nissan | Magnite | XL -> 3790000
DB: Nissan | Magnite | XV -> 4190000
DB: Nissan | Magnite | XV Premium -> 4590000
DB: Nissan | X-Trail | S e-POWER 2WD -> 9990000
DB: Nissan | X-Trail | SV e-4ORCE AWD -> 11490000
DB: Nissan | Kicks | XL CVT -> 4890000
DB: Nissan | Kicks | XV CVT -> 5390000
DB: Mahindra | Thar Roxx | MX1 -> 6490000
DB: Mahindra | Thar Roxx | MX3 -> 7190000
DB: Mahindra | Thar Roxx | MX5 -> 7990000
DB: Mahindra | Thar Roxx | AX7L -> 8990000
DB: Mahindra | XUV 3XO | MX1 -> 4290000
DB: Mahindra | XUV 3XO | MX2 -> 4690000
DB: Mahindra | XUV 3XO | MX3 Pro -> 5190000
DB: Mahindra | XUV 3XO | AX7L Turbo -> 5890000
DB: Mahindra | XUV700 | MX -> 7990000
DB: Mahindra | XUV700 | AX3 -> 8790000
DB: Mahindra | XUV700 | AX5 -> 9690000
DB: Mahindra | XUV700 | AX7 AWD -> 11490000
DB: Mahindra | Scorpio N | Z2 -> 6990000
DB: Mahindra | Scorpio N | Z4 -> 7790000
DB: Mahindra | Scorpio N | Z6 -> 8590000
DB: Mahindra | Scorpio N | Z8 4WD -> 9990000
DB: Mahindra | Bolero Neo | N4 -> 3790000
DB: Mahindra | Bolero Neo | N8 -> 4190000
DB: Mahindra | Bolero Neo | N10 -> 4490000
DB: Deepal | S07 | Standard Range RWD -> 7990000
DB: Deepal | S07 | Long Range RWD -> 9290000
DB: Deepal | S07 | Long Range AWD -> 10990000
DB: Deepal | L07 | REEV Standard -> 6990000
DB: Deepal | L07 | REEV Premium -> 8190000
DB: Deepal | S05 | Standard -> 5490000
DB: Deepal | S05 | Premium -> 6490000
DB: Chery | Tiggo 4 Pro | Comfort -> 3890000
DB: Chery | Tiggo 4 Pro | Luxury -> 4290000
DB: Chery | Tiggo 4 Pro | Premium -> 4690000
DB: Chery | Tiggo 7 Pro | Luxury -> 5190000
DB: Chery | Tiggo 7 Pro | Premium -> 5890000
DB: Chery | Tiggo 7 Pro | Elite -> 6590000
DB: Chery | Tiggo 8 Pro | Luxury 6-Seat -> 6990000
DB: Chery | Tiggo 8 Pro | Premium 7-Seat -> 7690000
DB: Chery | Tiggo 8 Pro | Elite AWD -> 8690000
DB: Chery | Omoda 5 | Comfort -> 4190000
DB: Chery | Omoda 5 | Premium -> 4790000
DB: Chery | Omoda E5 | Standard -> 5990000
DB: Chery | Omoda E5 | Premium -> 6990000
DB: Chery | Tiggo 2 Pro | Comfort -> 2890000
DB: Chery | Tiggo 2 Pro | Luxury -> 3290000
DB: Proton | X50 | Standard -> 4390000
DB: Proton | X50 | Executive -> 4890000
DB: Proton | X50 | Flagship -> 5390000
DB: Proton | X70 | Standard FWD -> 5990000
DB: Proton | X70 | Executive FWD -> 6590000
DB: Proton | X70 | Flagship AWD -> 7590000
DB: Proton | Saga | Standard MT -> 2290000
DB: Proton | Saga | Premium CVT -> 2690000
DB: Proton | X90 | Executive -> 8490000
DB: Proton | X90 | Flagship -> 9690000
DB: Haval | Jolion | Comfort -> 3990000
DB: Haval | Jolion | Luxury -> 4490000
DB: Haval | Jolion | Hybrid DHT -> 5190000
DB: Haval | Jolion | Hybrid Premium -> 5890000
DB: Haval | H6 | Luxury FWD -> 6390000
DB: Haval | H6 | Premium AWD -> 7490000
DB: Haval | Dargo | Luxury -> 6890000
DB: Haval | Dargo | Premium AWD -> 7990000
DB: Haval | H9 | Premium 4WD -> 9490000
DB: Haval | H9 | Elite 4WD -> 10990000
DB: Haval | Jolion EV | Standard -> 4990000
DB: Haval | Jolion EV | Premium -> 5790000
DB: Geely | Coolray | Comfort -> 4190000
DB: Geely | Coolray | Premium -> 4690000
DB: Geely | Coolray | Sport -> 5190000
DB: Geely | Azkarra | Premium FWD -> 6190000
DB: Geely | Azkarra | Elite AWD -> 7290000
DB: Geely | Emgrand | Comfort MT -> 2490000
DB: Geely | Emgrand | Premium CVT -> 2890000
DB: Geely | Preface | Premium -> 5490000
DB: Geely | Preface | Elite -> 6290000
DB: Geely | EX5 | Standard -> 5390000
DB: Geely | EX5 | Premium -> 6290000
DB: Maxus | T60 | 2WD MT -> 4690000
DB: Maxus | T60 | 4WD MT -> 5290000
DB: Maxus | T60 | 4WD AT Premium -> 5890000
DB: Maxus | D60 | Comfort 1.5T -> 4990000
DB: Maxus | D60 | Luxury 2.0T -> 5790000
DB: Maxus | D60 | Premium 2.0T AWD -> 6590000
DB: Maxus | Euniq 6 | Standard 6-Seat -> 6990000
DB: Maxus | Euniq 6 | Premium 6-Seat -> 8190000
DB: Audi | Q3 | 35 TFSI -> 7073380
